ScenarioId,Iterations,TabuSize,Repeat,Seed,GreedyOjective,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs
6,100,30,5,10043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,8357.1729
9,100,10,5,11043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7882.4294
9,100,30,5,13044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6823.7049
2,2000,10,5,23046,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,53963.3037
8,100,10,5,10043,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,5289.88
9,100,30,5,13042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,8571.4464
7,500,50,5,17042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,30766.4201
5,500,10,5,11042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,27312.0995
9,100,50,5,15042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7932.3857
9,100,30,5,13045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,8227.1127
4,100,50,5,10045,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,5172.7602
8,100,30,5,12046,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,7377.8244
9,500,50,5,19046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,34585.2896
6,500,10,5,12042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,26357.6503
7,100,30,5,11044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,4963.655
5,2000,50,5,30044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,60445.2673
6,100,50,5,12042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,7952.272
9,100,10,5,11044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,5160.703
8,100,50,5,14044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,7147.4063
4,100,50,5,10046,1657.5272106258317,1502.5091723595351,89.49471185395903,467.7522458442802,945.2622146612958,2,4744.0604
8,100,10,5,10044,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,6458.8762
9,100,30,5,13043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6760.1765
9,100,50,5,15043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,5917.2862
9,100,10,5,11045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,3424.1103
5,2000,10,5,26045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,62010.6273
7,100,30,5,11045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,5822.0809
9,100,30,5,13046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7494.6485
2,500,10,5,8045,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,22496.7887
6,100,50,5,12043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,5884.7204
8,100,10,5,10045,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,5937.0578
9,500,50,5,19042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,33462.1266
7,2000,10,5,28042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,67319.4403
9,100,10,5,11046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6099.5411
9,100,50,5,15044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7262.6495
7,100,30,5,11046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,6742.6215
6,100,50,5,12044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,6496.1713
6,500,50,5,16044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,40237.5639
