Iteration,Timestamp,State,Action,Operator,Reward,QValueBefore,QValueAfter,Epsilon,BestObjective,CurrentObjective,QTableSize,AvgQValue,MaxQValue,MinQValue
117,2025-12-07 22:09:45.574,10,0,swap,0.000000,0.001920,0.002188,0.943636,25678.34,25687.85,14,0.164496,0.385723,0.001846
118,2025-12-07 22:09:45.703,10,1,insert,0.000000,0.002357,0.002581,0.943164,25678.34,25687.85,14,0.164512,0.385723,0.001846
119,2025-12-07 22:09:45.839,10,1,insert,0.000000,0.002581,0.002782,0.942693,25678.34,25687.85,14,0.164526,0.385723,0.001846
120,2025-12-07 22:09:45.949,10,1,insert,0.000000,0.002782,0.002963,0.942222,25678.34,25687.85,14,0.164539,0.385723,0.001846
121,2025-12-07 22:09:46.118,10,2,invert,0.000000,0.001846,0.002121,0.941750,25678.34,25687.85,14,0.164559,0.385723,0.002121
122,2025-12-07 22:09:46.302,10,2,invert,0.000000,0.002121,0.002368,0.941280,25678.34,25687.85,14,0.164576,0.385723,0.002188
123,2025-12-07 22:09:46.463,10,3,2opt,0.000000,0.003514,0.003622,0.940809,25678.34,25687.85,14,0.164584,0.385723,0.002188
124,2025-12-07 22:09:46.614,10,5,cross,0.000000,0.005107,0.005056,0.940338,25678.34,25687.85,14,0.164580,0.385723,0.002188
125,2025-12-07 22:09:46.775,10,5,cross,0.000000,0.005056,0.005005,0.939868,25678.34,25687.85,14,0.164577,0.385723,0.002188
126,2025-12-07 22:09:46.908,10,1,insert,0.000000,0.002963,0.003118,0.939398,25678.34,25687.85,14,0.164588,0.385723,0.002188
127,2025-12-07 22:09:47.074,10,3,2opt,0.000000,0.003622,0.003710,0.938929,25678.34,25687.85,14,0.164594,0.385723,0.002188
128,2025-12-07 22:09:47.239,10,2,invert,0.000000,0.002368,0.002582,0.938459,25678.34,25687.85,14,0.164609,0.385723,0.002188
129,2025-12-07 22:09:47.376,10,5,cross,0.000000,0.005005,0.004955,0.937990,25678.34,25687.85,14,0.164606,0.385723,0.002188
130,2025-12-07 22:09:47.546,10,2,invert,0.000000,0.002582,0.002770,0.937521,25678.34,25687.85,14,0.164619,0.385723,0.002188
131,2025-12-07 22:09:47.767,10,1,insert,0.000000,0.003118,0.003252,0.937052,25678.34,25687.85,14,0.164629,0.385723,0.002188
