ScenarioId,Filename,Iterations,TabuSize,MutationType,UseRL,Repeat,Seed,GreedyObjective,GreedyTotalCost,GreedyTotalPenalty,GreedyTotalVehicleOperationTime,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs,GTR,algorithm
19,pliki//100 lokacji//C101.txt,200,50,swap,False,2,26042,15177.881718310593,1464.1393578083769,7389.603002693839,6324.139357808377,13975.81920269322,1608.34226795468,5899.13466678386,6468.34226795468,10,300010.7486,0;90;95;8;10;11;14;89;0;0;20;76;82;39;60;59;69;23;0;0;5;41;53;70;77;36;52;0;0;67;86;83;84;46;45;48;0;0;13;18;27;92;6;0;0;43;7;94;93;61;0;0;32;31;35;28;26;0;0;98;63;30;0;0;57;54;62;0;0;65;96;74;64;0,TabuSearch
19,pliki//100 lokacji//C101.txt,200,50,swap,False,2,26043,15177.881718310593,1464.1393578083769,7389.603002693839,6324.139357808377,13975.81920269322,1608.34226795468,5899.13466678386,6468.34226795468,10,300007.2583,0;90;95;8;10;11;14;89;0;0;20;76;82;39;60;59;69;23;0;0;5;41;53;70;77;36;52;0;0;67;86;83;84;46;45;48;0;0;13;18;27;92;6;0;0;43;7;94;93;61;0;0;32;31;35;28;26;0;0;98;63;30;0;0;57;54;62;0;0;65;96;74;64;0,TabuSearch
20,pliki//100 lokacji//C101.txt,200,50,swap,False,2,27042,14887.271312275197,1498.9171640409297,7569.436984193338,5818.9171640409295,13909.880637097,1581.903293915605,6426.07404926579,5901.903293915605,10,300034.4741,0;3;41;62;82;77;79;80;1;0;0;43;7;19;15;0;0;67;63;83;99;0;0;5;76;71;84;59;64;51;0;0;13;25;8;0;0;90;95;74;0;0;98;86;35;72;14;23;52;69;0;0;20;18;16;0;0;24;54;37;34;0;0;57;31;39;61;0,TabuSearch
20,pliki//100 lokacji//C101.txt,200,50,swap,False,2,27043,14887.271312275197,1498.9171640409297,7569.436984193338,5818.9171640409295,13909.880637097,1581.903293915605,6426.07404926579,5901.903293915605,10,300012.8402,0;3;41;62;82;77;79;80;1;0;0;43;7;19;15;0;0;67;63;83;99;0;0;5;76;71;84;59;64;51;0;0;13;25;8;0;0;90;95;74;0;0;98;86;35;72;14;23;52;69;0;0;20;18;16;0;0;24;54;37;34;0;0;57;31;39;61;0,TabuSearch
21,pliki//100 lokacji//C101.txt,200,50,swap,False,2,28042,14790.023852623515,1090.0876385808006,8379.848575461914,5320.087638580801,12358.563713781408,1421.7936980793847,5284.976317622639,5651.793698079385,12,300005.5732,0;13;18;8;0;0;43;19;27;29;14;6;0;0;90;55;46;72;77;4;1;0;0;67;63;0;0;20;41;56;0;0;32;31;35;37;26;0;0;95;86;62;0;0;3;94;10;44;45;59;36;22;0;0;57;0;0;33;25;0;0;5;7;0;0;98;53;38;30;9;0,TabuSearch
21,pliki//100 lokacji//C101.txt,200,50,swap,False,2,28043,14790.023852623515,1090.0876385808006,8379.848575461914,5320.087638580801,12815.058092957583,1389.71625669279,5805.625579572002,5619.716256692791,12,300013.7362,0;5;3;37;29;38;36;0;0;33;35;62;77;59;0;0;19;94;72;9;6;4;1;0;0;57;31;0;0;32;25;0;0;95;86;0;0;43;55;53;46;30;26;0;0;67;41;56;44;45;0;0;13;7;8;0;0;20;0;0;90;63;0;0;98;18;27;10;14;22;0,TabuSearch
22,pliki//100 lokacji//C101.txt,200,50,swap,False,2,29042,16189.24690660763,1106.780747328854,9475.685411949922,5606.780747328855,15055.535576328339,1314.631155510572,7926.2732653071935,5814.631155510573,10,300026.6379,0;5;42;27;10;11;6;4;99;0;0;90;8;35;37;60;68;0;0;43;86;83;82;85;89;0;0;20;7;94;92;100;0;0;67;18;19;15;64;0;0;13;41;45;44;46;0;0;98;95;48;61;52;0;0;32;31;40;39;9;0;0;3;25;74;0;0;57;63;0,TabuSearch
22,pliki//100 lokacji//C101.txt,200,50,swap,False,2,29043,16189.24690660763,1106.780747328854,9475.685411949922,5606.780747328855,15055.535576328339,1314.631155510572,7926.2732653071935,5814.631155510573,10,300010.5059,0;5;42;27;10;11;6;4;99;0;0;90;8;35;37;60;68;0;0;43;86;83;82;85;89;0;0;20;7;94;92;100;0;0;67;18;19;15;64;0;0;13;41;45;44;46;0;0;98;95;48;61;52;0;0;32;31;40;39;9;0;0;3;25;74;0;0;57;63;0,TabuSearch
23,pliki//100 lokacji//C101.txt,200,50,swap,False,2,30042,20113.746267371058,1533.7597234957266,12096.226820379605,6483.759723495727,17698.271952463714,1516.121892754567,9716.02816695458,6466.121892754566,11,300032.9974,0;43;55;44;72;77;80;66;69;0;0;90;7;83;30;59;79;91;1;0;0;42;25;19;10;9;0;0;96;63;94;93;99;0;0;13;18;35;36;48;23;0;0;5;95;92;84;89;26;0;0;32;31;29;46;0;0;57;54;40;0;0;67;41;74;0;0;98;14;11;100;88;68;0;0;20;0,TabuSearch
23,pliki//100 lokacji//C101.txt,200,50,swap,False,2,30043,20113.746267371058,1533.7597234957266,12096.226820379605,6483.759723495727,17698.271952463714,1516.121892754567,9716.02816695458,6466.121892754566,11,300028.8361,0;43;55;44;72;77;80;66;69;0;0;90;7;83;30;59;79;91;1;0;0;42;25;19;10;9;0;0;96;63;94;93;99;0;0;13;18;35;36;48;23;0;0;5;95;92;84;89;26;0;0;32;31;29;46;0;0;57;54;40;0;0;67;41;74;0;0;98;14;11;100;88;68;0;0;20;0,TabuSearch
